,x,y,word,label
cpe,48.8918,-27.146944,cpe,3
vul,38.716248,-27.60518,vul,3
wg,14.532283,-38.046318,wg,4
brc,32.088833,-34.97979,brc,3
ger,43.4516,-25.631273,ger,3
nx,58.233765,-22.276468,nx,3
C#,-4.0880065,-31.119047,C#,4
urn,57.67876,-27.237278,urn,3
prg,28.054287,-37.19684,prg,3
nerne,-54.06393,-15.88235,nerne,1
"f,",31.965546,-23.320871,"f,",3
eer,42.937706,-32.462387,eer,3
quer,4.819357,-33.488075,quer,2
execue,47.85757,-35.601368,execue,3
Orcle,-58.595657,-12.148311,Orcle,1
cunc,3.1327186,-43.79578,cunc,1
ecr,54.117203,-22.552914,ecr,3
grph,53.123844,-11.065634,grph,3
qu,44.415787,-33.7636,qu,3
DE,-27.497147,-33.653748,DE,0
Apple,-49.54125,-31.34004,Apple,1
JSON,26.526474,-37.97187,JSON,2
Plee,19.775787,-33.164883,Plee,0
App,-51.15467,-25.950327,App,1
hrw,8.734855,-48.54427,hrw,3
ner,33.889103,-26.217684,ner,3
Open,-59.282413,-15.544978,Open,1
Az,-57.188694,-22.224447,Az,1
rw,55.66299,-31.339787,rw,3
uu,48.408825,-32.483967,uu,3
cpn,-11.199308,-45.261208,cpn,1
grphc,34.5757,-35.489136,grphc,3
B,-48.37185,-15.640639,B,1
prr,-7.2230744,-44.572277,prr,1
Lnguge,-34.35077,-16.738049,Lnguge,1
BM,-57.4195,-17.039295,BM,1
lghgh,-19.244247,-31.274307,lghgh,4
lc,46.219624,-31.540379,lc,3
Wn,20.410986,-31.6115,Wn,0
Q,30.934301,-34.950214,Q,4
fence,55.88952,-24.771671,fence,3
rchecu,-31.337915,-31.122042,rchecu,1
lel,31.831974,-19.369316,lel,3
"l,",26.046736,-26.826649,"l,",3
M,-34.395615,-37.230915,M,1
"p,",38.85292,-36.491547,"p,",3
Lbrr,-42.16937,-20.228083,Lbrr,1
Rec,-14.3274765,-27.442112,Rec,4
uble,25.141407,-33.914005,uble,4
bue,-9.12234,-44.65349,bue,1
ruce,-35.691933,-38.763332,ruce,0
"pplc,",-16.554066,-42.27528,"pplc,",4
whle,40.84557,-34.512016,whle,3
cple,23.069626,-38.43361,cple,3
lerng,7.162187,-21.134808,lerng,2
wrpper,-8.095458,-25.467838,wrpper,4
plg,34.716366,-34.7469,plg,3
ern,-16.832413,-36.14762,ern,4
Mngen,-57.50402,-16.206589,Mngen,1
ck,22.676476,-18.16945,ck,3
elpg,-19.083565,-38.419662,elpg,4
ze,51.19249,-30.899536,ze,3
cb,20.834034,-16.372355,cb,3
vrul,8.369164,-47.64404,vrul,3
prpe,54.107903,-25.309284,prpe,3
fel,53.18998,-31.311926,fel,3
MVC,-26.295141,-28.394249,MVC,4
fg,47.48626,-24.39506,fg,3
Ne,-30.893255,-21.92798,Ne,4
ecur,5.045088,-42.71184,ecur,1
elec,53.681408,-32.78761,elec,3
echnque,54.04094,-19.753504,echnque,3
Sprg,-54.263596,-20.682575,Sprg,4
Pr,-42.780567,-17.98337,Pr,1
wkg,-8.916666,-23.802925,wkg,4
ccep,54.101257,-20.945587,ccep,3
nu,52.922047,-32.69763,nu,3
"lnguge,",-0.60110724,-33.302456,"lnguge,",2
cr-plf,-20.214552,-31.825521,cr-plf,4
rch,-16.774261,-36.02159,rch,4
Objec,-41.465034,-18.279663,Objec,1
Eclpe,-27.352009,-33.608883,Eclpe,4
gg,2.0265415,-43.16602,gg,1
exg,30.958904,-27.547796,exg,3
pful,-17.998034,-31.99472,pful,4
cue,41.45138,-29.928555,cue,3
prper,53.42472,-32.211506,prper,3
Sck,-25.904692,-52.822563,Sck,0
Angulr,-13.388126,-27.772177,Angulr,4
Nej,-19.005646,-31.426369,Nej,4
hgh,-7.364007,-36.83629,hgh,2
Ver,-32.898544,-38.08755,Ver,1
Scl,-4.6839614,-28.677673,Scl,4
echlg,-10.260251,-44.1157,echlg,1
hv,39.003716,-27.07757,hv,3
ppulr,-20.543373,-30.54785,ppulr,4
Rl,-15.289846,-32.227406,Rl,4
pruce,28.01247,-19.676008,pruce,3
pce,51.45965,-30.235447,pce,3
Djng,-23.875137,-29.398235,Djng,4
lrge,33.209354,-21.563606,lrge,3
he,11.82328,-39.91183,he,3
wge,-12.460247,-26.170965,wge,4
Tg,-24.662928,-51.927692,Tg,0
pple,18.682306,-30.910635,pple,0
crpg,1.51923,-32.792942,crpg,4
burne,-29.868309,-53.214813,burne,0
Plf,-56.613388,-17.703594,Plf,1
rn,47.27945,-27.853035,rn,3
purpe,54.236343,-17.892103,purpe,3
hnle,32.207287,-30.083769,hnle,3
DON'T,-29.935822,-52.369392,DON'T,1
ekp,-18.21371,-41.550232,ekp,4
fun,35.84629,-18.362127,fun,3
